testCS,correctAns,CS,US,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_port_4_start,p_port_4_end,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,p_port_4.started,p_port_4.stopped,Ready.started,Ready.stopped,vend.started,vend.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,p_port_3_start,p_port_3_end,vend_CS.started,vend_CS.stopped,p_port_3.started,p_port_3.stopped,Outcome.started,Outcome.stopped,reward.started,reward.stopped,p_port_2.started,p_port_2.stopped,vend_testy.started,vend_testy.stopped,choice_text.started,choice_text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,option_text.started,option_text.stopped,p_port_2_start,p_port_2_end,image.started,image.stopped,p_port_5.started,p_port_5.stopped,p_port_5_start,p_port_5_end,feedback_text.started,feedback_text.stopped,text.started,text.stopped,finish_text.started,finish_text.stopped,Thankyou_text.started,Thankyou_text.stopped,version,participant,CB,participant initials,phase,date,expName,psychopyVersion,frameRate,
CBblue.png,s,green.png,2,0,1,1,2,2,0,8,1,,,,,,,,,,,,,181.67979895401731,None,0.015609379128363798,1.5144319318987982,111,4,117,4,183.2965126370691,186.2964190571074,2.014414574325201,3.514408385974093,185.296425698265,None,186.27975548461654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,yellow.png,4,0,1,1,2,2,1,9,3,,,,,,,,,,,,,187.17975986174315,None,0.01024721712929022,1.5037474850396393,111,4,117,4,188.76314730542617,191.7630772713892,2.0037415985589178,3.503731787755896,190.76307636577621,None,191.74640585025736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,red.png,1,0,1,1,2,2,2,10,0,,,,,,,,,,,,,192.71307025289207,None,0.0035837804825860076,1.5070463900046889,111,4,117,4,194.37977133283493,197.37968469590305,2.007036277331281,None,196.37969435576997,None,197.36301448225458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,blue.png,3,0,1,1,2,2,3,11,2,,,,,,,,,,,,,198.19635943761386,None,0.007927701935841469,1.4990809240298404,111,4,117,4,199.8297228070969,202.8296506599654,1.9991127714038157,3.499074886613016,201.82964945248204,None,202.81300036979155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,,,0,1,1,2,,,,,,,,,,,,,,,,,203.72965835767172,None,,,,,,,,,,,,,,,0.01645428543451999,1.016114378862767,205.37970492124987,None,206.37963005727943,None,s,1,4.239046088130635,206.37963005727943,None,205.37970492124987,None,159,4,205.37970492124987,None,0.011770698909458588,None,119,4,210.87960334171112,None,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,red.png,1,0,2,2,1,0,0,0,0,,,,,,,,,,,,,213.096283818968,None,0.0032347272208426148,1.5063803723569436,111,4,117,4,214.76299667187413,217.76289313017514,2.0063805232930463,3.506367693782522,216.76290912932927,None,217.7462283502009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,green.png,2,0,2,2,1,0,1,1,1,,,,,,,,,,,,,218.6295673436125,None,0.008587742537201848,1.5004295320268284,111,4,117,4,220.19624261359786,223.19621755831758,2.000421230579377,3.5003930056554964,222.1961994460671,None,223.1795265155797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,blue.png,3,0,2,2,1,0,2,2,2,,,,,,,,,,,,,224.11286769755498,None,0.01625311870520818,1.51578174738097,111,4,117,4,225.79621997328468,228.7961532598274,1.999094478029292,None,227.7961843525245,None,228.76282400175114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,yellow.png,4,0,2,2,1,0,3,3,3,,,,,,,,,,,,,229.61283041650677,None,0.013588927378805238,1.5104583757856744,111,4,117,4,231.162898563849,234.16278958847397,2.0104588285921636,3.5104475084353908,233.16279864460012,None,234.14612028043848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBgreen.png,n,blue.png,3,0,2,2,1,1,0,4,2,,,,,,,,,,,,,235.14613205340174,None,0.0013890888803871349,1.5026561917511572,111,4,117,4,236.74618910699064,239.7460807353582,2.0026572482984193,3.5026453244008735,238.74612722346683,None,239.72944825556442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
