253.3179 	DATA 	Keypress: b
257.6291 	DATA 	Keypress: b
257.7456 	DATA 	Keypress: n
258.1956 	DATA 	Keypress: n
258.4123 	DATA 	Keypress: n
258.5957 	DATA 	Keypress: n
258.8623 	DATA 	Keypress: n
259.0957 	DATA 	Keypress: n
259.3623 	DATA 	Keypress: n
259.6123 	DATA 	Keypress: n
259.6124 	DATA 	win B
259.8592 	DATA 	Keypress: n
263.3290 	DATA 	Keypress: b
263.6123 	DATA 	Keypress: b
263.8286 	DATA 	Keypress: b
264.0623 	DATA 	Keypress: b
264.5623 	DATA 	Keypress: b
264.8123 	DATA 	Keypress: b
265.0789 	DATA 	Keypress: b
265.0790 	DATA 	win A
265.3493 	DATA 	Keypress: b
269.2020 	DATA 	Keypress: b
269.3347 	DATA 	correct
272.9789 	DATA 	Keypress: n
273.2789 	DATA 	Keypress: n
273.5456 	DATA 	Keypress: n
273.8122 	DATA 	Keypress: n
274.0789 	DATA 	Keypress: n
274.3622 	DATA 	Keypress: n
274.6456 	DATA 	Keypress: n
274.6457 	DATA 	win B
274.9220 	DATA 	Keypress: n
278.3122 	DATA 	Keypress: b
278.5955 	DATA 	Keypress: b
278.8789 	DATA 	Keypress: b
279.1455 	DATA 	Keypress: b
279.4455 	DATA 	Keypress: b
279.7289 	DATA 	Keypress: b
279.7289 	DATA 	win A
279.9859 	DATA 	Keypress: b
283.3122 	DATA 	Keypress: n
283.6621 	DATA 	Keypress: n
284.0622 	DATA 	Keypress: n
284.3622 	DATA 	Keypress: n
284.6455 	DATA 	Keypress: n
284.9288 	DATA 	Keypress: n
285.2455 	DATA 	Keypress: n
285.2456 	DATA 	win B
288.9788 	DATA 	Keypress: b
289.3121 	DATA 	Keypress: b
289.5954 	DATA 	Keypress: b
289.8788 	DATA 	Keypress: b
290.1954 	DATA 	Keypress: b
290.4788 	DATA 	Keypress: b
290.7621 	DATA 	Keypress: b
291.0800 	DATA 	Keypress: b
291.0954 	DATA 	win A
295.2049 	DATA 	Keypress: b
295.3368 	DATA 	correct
299.3288 	DATA 	Keypress: n
299.6787 	DATA 	Keypress: n
299.9787 	DATA 	Keypress: n
300.3121 	DATA 	Keypress: n
300.6287 	DATA 	Keypress: n
300.9454 	DATA 	Keypress: n
301.2787 	DATA 	Keypress: n
301.6287 	DATA 	Keypress: n
302.9453 	DATA 	Keypress: n
302.9454 	DATA 	win B
308.1453 	DATA 	Keypress: b
308.4287 	DATA 	Keypress: b
308.7120 	DATA 	Keypress: b
308.9620 	DATA 	Keypress: b
309.2286 	DATA 	Keypress: b
309.5120 	DATA 	Keypress: b
309.7954 	DATA 	Keypress: b
310.0454 	DATA 	Keypress: b
310.6787 	DATA 	Keypress: b
310.6788 	DATA 	win A
314.6120 	DATA 	Keypress: n
314.9120 	DATA 	Keypress: n
315.1620 	DATA 	Keypress: n
315.3786 	DATA 	Keypress: n
315.6453 	DATA 	Keypress: n
315.9286 	DATA 	Keypress: n
315.9287 	DATA 	win B
320.1788 	DATA 	Keypress: b
320.5119 	DATA 	Keypress: b
320.7786 	DATA 	Keypress: b
321.0786 	DATA 	Keypress: b
321.3619 	DATA 	Keypress: b
322.2119 	DATA 	Keypress: b
322.2120 	DATA 	win A
325.6875 	DATA 	Keypress: n
325.8231 	DATA 	Oops!
326.4167 	DATA 	Keypress: b
330.8953 	DATA 	Keypress: b
331.1457 	DATA 	Keypress: b
331.4285 	DATA 	Keypress: b
331.6628 	DATA 	Keypress: b
331.9298 	DATA 	Keypress: b
332.1952 	DATA 	Keypress: b
332.4452 	DATA 	Keypress: b
332.7285 	DATA 	Keypress: b
332.7286 	DATA 	win A
336.7785 	DATA 	Keypress: n
337.0451 	DATA 	Keypress: n
337.3285 	DATA 	Keypress: n
337.6285 	DATA 	Keypress: n
337.9285 	DATA 	Keypress: n
338.2451 	DATA 	Keypress: n
338.2452 	DATA 	win B
343.3785 	DATA 	Keypress: b
343.6118 	DATA 	Keypress: b
343.8784 	DATA 	Keypress: b
344.1451 	DATA 	Keypress: b
344.4118 	DATA 	Keypress: b
344.6785 	DATA 	Keypress: b
344.9618 	DATA 	Keypress: b
345.2951 	DATA 	Keypress: b
345.5784 	DATA 	Keypress: b
345.8618 	DATA 	Keypress: b
345.8618 	DATA 	win A
349.5951 	DATA 	Keypress: n
349.8784 	DATA 	Keypress: n
350.1451 	DATA 	Keypress: n
350.3617 	DATA 	Keypress: n
350.5784 	DATA 	Keypress: n
350.8117 	DATA 	Keypress: n
351.0457 	DATA 	Keypress: n
351.2951 	DATA 	Keypress: n
351.2952 	DATA 	win B
355.8387 	DATA 	Keypress: n
355.9691 	DATA 	correct
360.3284 	DATA 	Keypress: b
360.6284 	DATA 	Keypress: b
360.8784 	DATA 	Keypress: b
361.1450 	DATA 	Keypress: b
361.4117 	DATA 	Keypress: b
361.6617 	DATA 	Keypress: b
361.9117 	DATA 	Keypress: b
362.6951 	DATA 	Keypress: b
362.9283 	DATA 	Keypress: b
363.1616 	DATA 	Keypress: b
363.1617 	DATA 	win A
363.4133 	DATA 	Keypress: b
366.8117 	DATA 	Keypress: n
367.1116 	DATA 	Keypress: n
367.3116 	DATA 	Keypress: n
367.5283 	DATA 	Keypress: n
367.7784 	DATA 	Keypress: n
368.0116 	DATA 	Keypress: n
368.2283 	DATA 	Keypress: n
368.6283 	DATA 	Keypress: n
369.4450 	DATA 	Keypress: n
369.4451 	DATA 	win B
372.8116 	DATA 	Keypress: b
373.0449 	DATA 	Keypress: b
373.2283 	DATA 	Keypress: b
373.4616 	DATA 	Keypress: b
373.6949 	DATA 	Keypress: b
373.9116 	DATA 	Keypress: b
374.1449 	DATA 	Keypress: b
374.3616 	DATA 	Keypress: b
374.5782 	DATA 	Keypress: b
374.7782 	DATA 	Keypress: b
374.7783 	DATA 	win A
378.4116 	DATA 	Keypress: n
378.6291 	DATA 	Keypress: n
378.8782 	DATA 	Keypress: n
379.1449 	DATA 	Keypress: n
379.3616 	DATA 	Keypress: n
379.6116 	DATA 	Keypress: n
379.6116 	DATA 	win B
379.8570 	DATA 	Keypress: n
384.0552 	DATA 	Keypress: n
384.1866 	DATA 	correct
387.0282 	DATA 	Keypress: b
387.2794 	DATA 	Keypress: b
387.5448 	DATA 	Keypress: b
387.7948 	DATA 	Keypress: b
388.0448 	DATA 	Keypress: b
388.3115 	DATA 	Keypress: b
388.3116 	DATA 	win A
388.5630 	DATA 	Keypress: b
391.5448 	DATA 	Keypress: n
391.8282 	DATA 	Keypress: n
392.1115 	DATA 	Keypress: n
392.3282 	DATA 	Keypress: n
392.5281 	DATA 	Keypress: n
392.9615 	DATA 	Keypress: n
393.3782 	DATA 	Keypress: n
393.6782 	DATA 	Keypress: n
393.6783 	DATA 	win B
