"block","block_trial","event","eventn","time","et.msg"
"GtA",17,"feedback",115,11167338,"TRIALID 0_17_2_-1_1"
"GtA",18,"face",116,11172338,"TRIALID -1_18_1_F2_0.3"
"GtA",18,"feedback",117,11174838,"TRIALID 0_18_2_-1_1"
"GtA",19,"face",118,11179839,"TRIALID -1_19_1_F2_0.3"
"GtA",19,"feedback",119,11182339,"TRIALID 0_19_2_-1_1"
"GtA",20,"face",120,11187339,"TRIALID -1_20_1_F2_0.3"
"GtA",20,"feedback",121,11189839,"TRIALID 0_20_2_-1_1"
"GtA",21,"face",122,11194840,"TRIALID -1_21_1_F2_0.3"
"GtA",21,"feedback",123,11197340,"TRIALID -1_21_2_-1_1"
"GtA",22,"face",124,11202340,"TRIALID -1_22_1_F2_0.3"
"GtA",22,"feedback",125,11204840,"TRIALID -1_22_2_-1_0"
"GtA",23,"face",126,11209840,"TRIALID -1_23_1_F2_0.3"
"GtA",23,"feedback",127,11212341,"TRIALID 0_23_2_-1_1"
"GtA",24,"face",128,11217341,"TRIALID -1_24_1_F2_0.3"
"GtA",24,"feedback",129,11219841,"TRIALID -1_24_2_-1_1"
"GtA",25,"face",130,11224841,"TRIALID -1_25_1_F2_0.3"
"GtA",25,"feedback",131,11227341,"TRIALID -1_25_2_-1_0"
"GtA",26,"face",132,11232342,"TRIALID -1_26_1_F2_0.3"
"GtA",26,"feedback",133,11234842,"TRIALID 0_26_2_-1_1"
"GtA",27,"face",134,11239842,"TRIALID -1_27_1_F2_0.3"
"GtA",27,"feedback",135,11242342,"TRIALID 0_27_2_-1_1"
"GtA",28,"face",136,11247343,"TRIALID -1_28_1_F2_0.3"
"GtA",28,"feedback",137,11249843,"TRIALID -1_28_2_-1_1"
"GtA",29,"face",138,11254843,"TRIALID -1_29_1_F2_0.3"
"GtA",29,"feedback",139,11257342,"TRIALID 0_29_2_-1_1"
"GtA",30,"face",140,11262344,"TRIALID -1_30_1_F2_0.3"
"GtA",30,"feedback",141,11264843,"TRIALID 0_30_2_-1_1"
"GtA",31,"face",142,11269844,"TRIALID -1_31_1_F2_0.3"
"GtA",31,"feedback",143,11272343,"TRIALID 0_31_2_-1_1"
"GtA",32,"face",144,11277344,"TRIALID -1_32_1_F2_0.3"
"GtA",32,"feedback",145,11279844,"TRIALID 0_32_2_-1_1"
"GtA",33,"face",146,11284845,"TRIALID -1_33_1_F2_0.3"
"GtA",33,"feedback",147,11287345,"TRIALID -1_33_2_-1_1"
"GtA",34,"face",148,11292345,"TRIALID -1_34_1_F2_0.3"
